2019/06/11 00:40:56 socat[88438] E execvp("./brop", "./brop"): Permission denied
2019/06/12 03:41:56 socat[51608] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51611] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51618] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:41:56 socat[51621] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51624] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51631] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51634] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51637] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51640] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51643] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51646] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51653] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51656] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51663] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:41:57 socat[51731] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:57 socat[51738] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:57 socat[51749] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52328] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52331] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52334] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52337] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52340] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52343] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52346] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52349] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52352] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52355] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52358] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:03 socat[52361] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52368] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52375] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52378] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52381] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52384] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52387] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52390] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52393] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52396] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:03 socat[52399] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:03 socat[52406] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:03 socat[52409] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52812] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:07 socat[52819] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52826] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52837] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52840] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52847] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52858] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52861] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:07 socat[52864] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52867] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52870] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52873] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52876] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52879] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52882] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52889] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52892] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52927] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:08 socat[52938] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:42:09 socat[52982] E write(6, 0xba65d0, 20): Broken pipe
